045708.000,4101.3682,07415.1619,09,79.
045719.000,4101.3674,07415.1622,09,79.
045730.000,4101.3678,07415.1619,09,79.
045741.000,4101.3679,07415.1623,09,79.
045752.000,4101.3682,07415.1623,09,79.
045803.000,4101.3681,07415.1625,09,79.
045814.000,4101.3668,07415.1621,09,79.
045825.000,4101.3661,07415.1625,08,79.
045836.000,4101.3658,07415.1630,07,79.
045847.000,4101.3654,07415.1629,08,79.
045858.000,4101.3648,07415.1631,08,79.
045909.000,4101.3638,07415.1608,08,78.
045920.000,4101.3622,07415.1605,09,78.
045931.000,4101.3625,07415.1599,09,78.
045942.000,4101.3680,07415.1598,09,77.
045953.000,4101.3700,07415.1607,09,76.
050004.000,4101.3695,07415.1598,09,76.
050015.000,4101.3693,07415.1593,09,76.
050026.000,4101.3686,07415.1577,09,76.
050037.000,4101.3682,07415.1569,09,76.
050048.000,4101.3677,07415.1576,09,76.
050059.000,4101.3674,07415.1585,09,76.
050110.000,4101.3671,07415.1588,09,76.
050121.000,4101.3662,07415.1585,09,76.
050132.000,4101.3656,07415.1579,09,76.
050143.000,4101.3653,07415.1573,09,76.
050154.000,4101.3656,07415.1565,08,76.
050205.000,4101.3665,07415.1563,08,76.
050216.000,4101.3674,07415.1559,08,76.
050227.000,4101.3679,07415.1564,09,76.
050238.000,4101.3679,07415.1566,09,76.
050249.000,4101.3674,07415.1566,09,76.
050300.000,4101.3663,07415.1571,09,76.
050311.000,4101.3656,07415.1580,09,76.
050322.000,4101.3650,07415.1588,09,76.
050333.000,4101.3651,07415.1592,09,76.
050344.000,4101.3653,07415.1588,09,76.
050355.000,4101.3656,07415.1588,08,76.
050406.000,4101.3660,07415.1589,08,76.
050417.000,4101.3659,07415.1594,08,76.
050428.000,4101.3658,07415.1592,08,76.
050439.000,4101.3660,07415.1589,09,76.
050450.000,4101.3659,07415.1597,09,76.
050501.000,4101.3644,07415.1622,09,76.
050512.000,4101.3637,07415.1639,09,76.
050523.000,4101.3640,07415.1662,09,77.
050534.000,4101.3644,07415.1664,09,77.
050545.000,4101.3650,07415.1657,08,77.
050556.000,4101.3654,07415.1644,08,77.
050607.000,4101.3656,07415.1634,08,77.
050618.000,4101.3660,07415.1624,08,77.
050629.000,4101.3659,07415.1619,08,77.
050640.000,4101.3657,07415.1623,08,77.
050651.000,4101.3654,07415.1633,08,77.
050702.000,4101.3654,07415.1627,08,77.
050713.000,4101.3655,07415.1619,08,77.
050724.000,4101.3665,07415.1603,07,77.
050735.000,4101.3672,07415.1589,07,77.
050746.000,4101.3679,07415.1582,08,77.
050757.000,4101.3681,07415.1583,08,77.
050808.000,4101.3675,07415.1595,08,77.
050819.000,4101.3668,07415.1608,08,77.
050830.000,4101.3657,07415.1633,08,77.
050841.000,4101.3649,07415.1638,08,77.
050852.000,4101.3649,07415.1635,08,77.
050903.000,4101.3657,07415.1620,08,77.
050914.000,4101.3658,07415.1605,08,77.
050925.000,4101.3660,07415.1594,08,77.
